id,name,artist_genres,artist_image
4bODnAlydTbem2JAjDX52y,Evenings,chillwave,https://i.scdn.co/image/ab6761610000e5ebe60ab143e216eab696015ada
1O3ZOjqFLEnbpZexcRjocn,RJD2,electronica,https://i.scdn.co/image/ab6772690000c46c2e0662f18cc4b8676f3ecedd
4tNxq9NGKTKaX8OkZBLgf0,Nightmares On Wax,bleep techno,https://i.scdn.co/image/ab6761610000e5ebf55522db17a6034ca9a895cf
00G1NTDAoU7rBpjG4KoYAM,DJ Krush,downtempo,https://i.scdn.co/image/4304fc0a160f1db55c533f1e5daad10007e82b5a
57dN52uHvrHOxijzpIgu3E,Ratatat,indietronica,https://i.scdn.co/image/2f0c6c465a83cd196e651e3d4e7625ba799a6f60
3KTzs16kNylBR78QZSkiyx,Metro Area,balearic,https://i.scdn.co/image/ab67616d0000b273080ba0e10d761f44d570f173
25KNo5GDS6ZpLkjasaecA3,Thievery Corporation,downtempo,https://i.scdn.co/image/ab6761610000e5eb3d9378b0995517ff9f4f2354
6pohviZSNRueSX7uNu63ZX,Moodymann,deep house,https://i.scdn.co/image/849e40b627748ad8daeb95c18e227fc605d1c9fb
1979TL9BYIaUZxqbqUUhFa,Soul Position,abstract hip hop,https://i.scdn.co/image/513b75b6e0ecc986806997d77204bcf3f7825c25
2B0PgHZi2zaDqjKe86Gaip,Mr. Scruff,downtempo,https://i.scdn.co/image/3d3861a9d6980145805dacc48c3e3dbd73a3eee2
5oOhM2DFWab8XhSdQiITry,Tycho,downtempo,https://i.scdn.co/image/ab6761610000e5eb4dc28dcee5516d2e89690525
4O71i7ke5iIBX6RNSFoZbS,trentemøller,danish electronic,https://i.scdn.co/image/ab6761610000e5eb803519cf5b2d6bc6a0584011
6FXMGgJwohJLUSr5nVlf9X,Massive Attack,downtempo,https://i.scdn.co/image/c8bbeedb05f38ae5cb982a7daf4bf7129cca892c
72hqBMsw7x5jnfxxwkii8L,Leftfield,big beat,https://i.scdn.co/image/ab6761610000e5eb268b59428f3f0223910ab358
1hwAhXzyuEUjug2pyNVSvg,DJ Cam,downtempo,https://i.scdn.co/image/ab6761610000e5eb7fe667047f1a760f42041fd3
3aKCo8gLJfuPYtr88aWKjF,Télépopmusik,downtempo,https://i.scdn.co/image/ab6761610000e5ebc899ea6b54bb360134be9fb7
0av074qUwLn5eyzwqoq3xh,People Under The Stairs,alternative hip hop,https://i.scdn.co/image/bf9be990f581592fad856fd135926686c516b869
2fwn3zMuclydNxRzPZPCbB,Mario Basanov,deep disco house,https://i.scdn.co/image/ab6761610000e5ebe4d1d3293ac983f37ca46c1c
0cmWgDlu9CwTgxPhf403hb,Bonobo,downtempo,https://i.scdn.co/image/ab6761610000e5eb37af35b51a7c9b689d86779a
7bHm3B3jJju0q9FUdOgp3b,Blockhead,downtempo,https://i.scdn.co/image/ab6761610000e5eb07fbed37ac4941e6d4fe4429
3Gaqw2nGyE7yM3rcRSzE3U,Yppah,trip hop,https://i.scdn.co/image/ab6761610000e5eb425f582cd47e4d0d1ec8bee7
4743DlrFCsAlAV4N26Kdgh,Cut Chemist,scratch,https://i.scdn.co/image/ab6761610000e5ebbe3a1edabb53853b1239178b
4NZM5xKuDpGc4vEHDwGO1Q,DJ Food,trip hop,https://i.scdn.co/image/ab67616d0000b273814c201c4c020fb10495ed3e
6dgwEwnK0YtDfS9XhRwBTG,Broken Bells,chamber pop,https://i.scdn.co/image/ab6761610000e5ebcafd2875af0609eed7b8422e
0VQKssIfRKfSd7IfW3JIP1,Thomston,etherpop,https://i.scdn.co/image/ab6761610000e5eb85eafaecd7eec4e1a521e2f3
3x7BaW5q1SDNv6bVrbOCmX,MOVEMENT,neo r&b,https://i.scdn.co/image/28dbe5b4695e4e21fde6715598ad7960b2ae28f7
163tK9Wjr9P9DmM0AVK7lm,Lorde,art pop,https://i.scdn.co/image/ab6761610000e5ebc4902f080d3620b3e6da80c3
6nS5roXSAGhTGr34W6n7Et,Disclosure,edm,https://i.scdn.co/image/ab6761610000e5ebc7150fb3cbf60e201ae90840
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,dance pop,https://i.scdn.co/image/ab6761610000e5eb2ca27dcc7f92e9576126bb18
2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,dance pop,https://i.scdn.co/image/ab6761610000e5ebce391c85fb87d67d316d1413
5Mq7iqCWBzofK39FBqblNc,Jessie Ware,british soul,https://i.scdn.co/image/ab6761610000e5ebdcbf8b16eaea624592b29a35
5a2EaR3hamoenG9rDuVn8j,Prince,funk,https://i.scdn.co/image/ab6761610000e5ebeaca358712b3fe4ed9814640
7bXgB6jMjp9ATFy66eO08Z,Chris Brown,pop rap,https://i.scdn.co/image/ab6761610000e5ebe50aa80e0f5869f84f6874d1
5y2Xq6xcjJb2jVM54GHK3t,John Legend,neo soul,https://i.scdn.co/image/ab6761610000e5ebaed3c717bf1753ab928ea88d
35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson,dance pop,https://i.scdn.co/image/b1a850a1f02e3d08c7c41d010b878f1abefeb006
