id,name,uri,album_image_url,release_date,artist,artist_id,genre
4v8zUMnLfTt6Cl4ht4JG92,641: Data Science Trends for 2023,spotify:episode:4v8zUMnLfTt6Cl4ht4JG92,https://i.scdn.co/image/ab6765630000ba8a46fd051144d1d8140589e3ab,2023-01-03,Super Data Science Podcast with Jon Krohn,1n8P7ZSgfVLVJ3GegxPat1,podcast
6kz3KV68oxBCW3J3CZX3BL,Episode 62: Improving Energy Efficiency & Reliability of Centrifugal Pumps for Clean Water,spotify:episode:6kz3KV68oxBCW3J3CZX3BL,https://i.scdn.co/image/ab6765630000ba8a9b7375a910f95df2f14f3942,2022-01-14,Pumps & Systems Podcast,7vCgXFp1J9Q5WdrMcOWafa,podcast
1xVrtp6Z7rh8L0IZSyxhGH,Episode 55: How Can Companies Fight the Skills Gap?,spotify:episode:1xVrtp6Z7rh8L0IZSyxhGH,https://i.scdn.co/image/ab6765630000ba8a9b7375a910f95df2f14f3942,2021-08-02,Pumps & Systems Podcast,7vCgXFp1J9Q5WdrMcOWafa,podcast
4Hg9ImASBRqGnE7TmREntO,#121 ChatGPT and How Generative AI is Augmenting Workflows,spotify:episode:4Hg9ImASBRqGnE7TmREntO,https://i.scdn.co/image/ab6765630000ba8a5f4712b441fcd4135ca7452c,2023-01-12,DataFramed,02yJXEJAJiQ0Vm2AO9Xj6X,podcast
6HSz7rPcMtbTBfWtbUXdqM,644: A Framework for Big Life Decisions,spotify:episode:6HSz7rPcMtbTBfWtbUXdqM,https://i.scdn.co/image/ab6765630000ba8af7acb4df6d08118c465d1f8f,2023-01-13,Super Data Science Podcast with Jon Krohn,1n8P7ZSgfVLVJ3GegxPat1,podcast
5jKodVVs4UecsNlTyxEJrB,Why Software is the Key to IoT Hardware Success | Geisel Software’s Brian Geisel | Internet of Things Podcast,spotify:episode:5jKodVVs4UecsNlTyxEJrB,https://i.scdn.co/image/fa7dbda0b837465a958212995c467d731a6df7e0,2023-01-12,IoT For All Podcast,0jYLPvfCrBZVCwM5a7aldP,podcast
6hMzvWnOMD0SBJHQkRv2Uu,646: ChatGPT: How to Extract Commercial Value Today,spotify:episode:6hMzvWnOMD0SBJHQkRv2Uu,https://i.scdn.co/image/ab6765630000ba8a87557761e0ffbae43aa4b2a2,2023-01-20,Super Data Science Podcast with Jon Krohn,1n8P7ZSgfVLVJ3GegxPat1,podcast
5GtGqcQPsr9kw7pbnZvOlL,80/20 Sales and Marketing | Working Less and Making More | Perry Marshall Summary,spotify:episode:5GtGqcQPsr9kw7pbnZvOlL,https://i.scdn.co/image/ab6765630000ba8a223f9cb4d769ceaee855c797,2023-01-20,Bestbookbits,0q8OW3dNrLISzyRSEovTBy,podcast
5kbJVxWSnaH9hdojEWZxsB,Fast and Frugal Time Series Forecasting,spotify:episode:5kbJVxWSnaH9hdojEWZxsB,https://i.scdn.co/image/ab6765630000ba8ac67a6d2064b1fa45cc539bab,2021-10-17,Data Skeptic,1BZN7H3ikovSejhwQTzNm4,podcast
5GZ2eFPcnMG7DuiWwi1BRK,The Increasingly Important Role of AI in Customer Experience,spotify:episode:5GZ2eFPcnMG7DuiWwi1BRK,https://i.scdn.co/image/ab6765630000ba8a3e3d1d8e456608f10a2f9cb9,2023-02-09,Bernard Marr's Future of Business & Technology Podcast,6pbA7zZxvYOtZfSISMBFcl,podcast
